review_id,poi_id,user_id
1066071840,311103,1
1066071372,311103,2
1066071361,311103,3
1066071274,311103,4
1066071208,311103,5
1066071204,311103,6
1066070141,311103,7
1065320102,311103,8
1063024284,311103,9
1062916164,311103,10
1059760949,311103,11
1050313807,311103,12
1050313758,311103,13
1050313550,311103,14
1050313339,311103,15
1049291038,311103,16
1048784720,311103,17
1045226219,311103,18
1045226153,311103,19
1045226034,311103,20
1045225988,311103,21
1044043350,311103,22
1044043056,311103,23
1043914997,311103,24
1006100312,311103,25
996940930,311103,26
996939730,311103,27
985124754,311103,28
980717767,311103,29
948048358,311103,30
947436902,311103,31
907361338,311103,32
889008143,311103,33
884268509,311103,34
878253889,311103,35
863490178,311103,36
842614649,311103,37
838024560,311103,38
827300156,311103,39
790165454,311103,40
790060543,311103,41
784935182,311103,42
781933040,311103,43
781124288,311103,44
778334772,311103,45
777397598,311103,46
773300294,311103,47
764184391,311103,48
744331335,311103,49
743129961,311103,50
742345032,311103,51
730221000,311103,52
729875939,311103,53
729344674,311103,54
728520264,311103,55
725196867,311103,56
718192057,311103,57
711580625,311103,58
711101640,311103,59
704856868,311103,60
696313782,311103,61
692489622,311103,62
692197064,311103,63
692196975,311103,64
692187452,311103,65
691968787,311103,66
691928094,311103,67
691923902,311103,68
691017998,311103,69
690837953,311103,70
686623876,311103,71
686241773,311103,72
683054097,311103,73
682059953,311103,74
678984132,311103,75
675182714,311103,76
675106272,311103,77
672370341,311103,78
672110960,311103,79
670566556,311103,80
668083064,311103,81
666706534,311103,82
666559037,311103,83
665963461,311103,84
665243168,311103,85
655985618,311103,86
655512522,311103,87
655176752,311103,88
651934967,311103,89
651863695,311103,90
649416663,311103,91
648407860,311103,92
647537981,311103,93
646894368,311103,94
646720182,311103,95
646223531,311103,96
641544570,311103,97
634543524,311103,98
633705829,311103,99
632659331,311103,100
632093259,311103,101
629028156,311103,102
622508622,311103,103
622289478,311103,104
618798372,311103,105
614039176,311103,106
612840444,311103,107
612769729,311103,108
609428932,311103,109
609237805,311103,110
607227272,311103,111
603781368,311103,112
603682638,311103,113
603677291,311103,114
601252208,311103,115
597482223,311103,116
595192556,311103,117
595109710,311103,118
594704199,311103,119
591428644,311103,120
589411143,311103,121
582551539,311103,122
581922173,311103,123
581870926,311103,124
579207369,311103,125
577285098,311103,126
570293483,311103,127
568632469,311103,128
564131257,311103,129
563295594,311103,130
563058587,311103,131
562296088,311103,132
562015159,311103,133
556990268,311103,134
553101853,311103,135
552893364,311103,136
551904615,311103,137
539655614,311103,138
538975691,311103,139
535372838,311103,140
525878603,311103,141
525683695,311103,142
514599738,311103,143
496658766,311103,144
496072987,311103,145
491518802,311103,146
488692947,311103,147
487696711,311103,148
483993535,311103,149
480250435,311103,150
478098509,311103,151
477624035,311103,152
469007148,311103,153
467972920,311103,154
465948958,311103,155
462825404,311103,156
460804677,311103,157
456847896,311103,158
452367516,311103,159
449052359,311103,160
447384113,311103,161
439627020,311103,162
439203669,311103,163
438508291,311103,164
427452138,311103,165
426188326,311103,166
425990725,311103,167
415713530,311103,168
409901838,311103,169
408640462,311103,170
399094112,311103,171
399065857,311103,172
