review_id,poiID,rating,content,gold_co_mentioned_pois,gold_aspects,gold_sentiment,gold_travel_intent
670565702,1949590,5,"Tôi đã làm một nghiên cứu nhỏ về Tìm kiếm một thợ may ở TP HCM. Vì vậy, nhiều người để lựa chọn vì vậy trong phần gửi tôi chọn cái này vì Verona là tên đệm của tôi.Tôi đã có một bộ đồ quần được làm và cũng có chúng để sao chép một chiếc áo yêu thích của tôi. Tôi đã có hai thực hiện.Tôi rất hạnh phúc đặc biệt là với bộ đồ. Nó phù hợp hoàn hảo. Tôi chắc chắn sẽ mua từ những người phụ nữ này một lần nữa. Thả vào một buổi sáng thứ bảy và trở lại vào buổi tối hôm đó cho lần đầu tiên. Họ nói rằng tất cả sẽ sẵn sàng vào thứ ba nhưng vì tôi không vội vàng nên tôi đã khuyên tôi nên đón ngày thứ tư. Giá cả tôi sẽ không rẻ nhất ở TP HCM nhưng vẫn là một món hời khi so sánh với những gì tôi phải trả ở nhà.",,Giá cả,Tích cực,Mua sắm
726556136,8263413,5,"Đây là một tour du lịch đồng bằng sông Cửu Long. Chuyến tham quan ban đầu dừng lại ở một trang trại thanh long. Nó rất nhiều thông tin và mẫu thanh long rất ngon. Sau đó chúng tôi đi đến bờ sông và đưa hai phà qua một hòn đảo nhỏ. Chúng tôi đã chọn cho xe đạp vào thời điểm này. Chúng tôi đến một trang trại dừa và thấy những quả dừa được trấu như thế nào. Tại một trang trại khác, chúng tôi đã thấy cách cây cọ được sử dụng để làm chổi và các phần của mái nhà. Tiếp theo đó là một chuyến đi ngắn trên một chiếc thuyền nhỏ dọc bờ sông với hương vị của một cây cọ sông và nước dừa. Chúng tôi kết thúc với một bữa trưa tuyệt vời. Hướng dẫn của chúng tôi, Lana là tuyệt vời. Cô ấy có kiến thức và rất nhiệt tình. Thật tuyệt vời khi thoát khỏi tất cả các khu vực du lịch.",,Ẩm thực; Phục vụ; Vệ sinh,Tích cực,Ăn uống/Ẩm thực
739219338,7339849,5,"Chúng tôi đã đến nơi này cùng với chồng chưa cưới của tôi và bạn bè để được massage và tất cả chúng tôi đều hài lòng với mức độ chất lượng, dịch vụ và ấn tượng chung của Temple Leaf Spa.Nó sạch sẽ và được tổ chức tốt, chúng tôi đã được chào đón với trà ấm và chúng tôi quản lý để đăng ký một massage mà không có thời gian chờ đợi. Chúng tôi cũng cần điền vào một mẫu phỏng vấn ngắn để massage.Tất cả chúng tôi đều được mát-xa toàn thân và mọi thứ đều tuyệt vời - vài phòng phòng có đủ sự riêng tư, nhân viên mát xa rất tốt và mọi chuyện đều ổn.Tôi bị đau lưng và tôi sau một cuộc phẫu thuật, nhưng việc xoa bóp vẫn ổn đối với tôi và không gây ra bất kỳ đau đớn nào ở vùng lưng dưới.",,Phục vụ; Vệ sinh,Tích cực,Thư giãn/Spa
740900623,2004786,5,"Chồng sắp cưới của tôi và tôi đã thực hiện một cuộc phiêu lưu Vespa với Sinh làm hướng dẫn viên du lịch của chúng tôi và Quy là người lái xe Vespa bổ sung. Chúng tôi đã thực hiện chuyến tham quan Quốc gia và Quần đảo trong 5 giờ tại Hội An. Sinh nói tiếng Anh giao tiếp tuyệt vời và chúng tôi đã học được rất nhiều về đất nước và văn hóa thông qua anh ấy khi anh ấy có kiến thức rộng về lịch sử và các chủ đề khác nhau như đóng tàu, trang trại cà phê, động vật hoang dã, tôn giáo, ngôn ngữ. Anh lái xe an toàn. Chúng tôi rất thích tất cả các điểm dừng chúng tôi đã thực hiện - làm chiếu, quán cà phê và nhiều điểm dừng để chụp ảnh sẽ tồn tại suốt đời. Chúng tôi có những bức ảnh tuyệt vời. Chi phí bao gồm một bữa ăn trưa đầy đủ và ngon miệng tại văn phòng của họ. Chúng tôi cũng đã mua một ít cà phê nhưng không bị áp lực phải làm như vậy. Chuyến đi trên Vespa rất thư giãn và ngắm cảnh. Đây là một điểm nổi bật của chuyến đi và tôi chắc chắn sẽ đề nghị!",,Ẩm thực; Giá cả,Tích cực,Ăn uống/Ẩm thực
618149957,8765849,5,"Tour này thật tuyệt vời. Tôi không thể tưởng tượng được chuyến đi này bằng xe hơi sau khi thú vị như thế nào khi nhảy lên mặt sau của một chiếc xe máy. Hướng dẫn của tôi Jeff thật tuyệt vời, anh ấy là một tay đua giỏi tôi cảm thấy siêu an toàn. Anh ấy cũng rất thông tin. Tôi rất thích tất cả các điểm dừng trên đường đi, thức ăn rất ngon, và bạn đang ở trong số dày của nó, một cách tuyệt vời để thực sự trải nghiệm thành phố Sài Gòn và con đường đến các đường hầm. Bạn có một vài con đường đất nước mà là mát mẻ, phong cảnh đáng yêu. Bản thân đường hầm thực sự thú vị và đáng sợ để đi vào bên trong! Chúng tôi đã gặp một người khác trên một tour du lịch tương đương, điều đó làm cho nó thực sự thú vị. Tôi rất khuyên bạn nên trải nghiệm này! !",,Ẩm thực; Vệ sinh,Tích cực,Ăn uống/Ẩm thực
697676921,1178970,3,Tháng 5 vừa rồi mình có cùng gia đình gồm 3 người lớn và 2 em bé đi du lịch tại Đầm Sen như quay về tuổi thơ thật sự song mình nghỉ nên nâng cấp lại một vài thiết bị vui chơi vì mình thấy có vẻ xuống cấp như vậy sẽ khiến người tham quan quan ngại khi chính bản thân hay con em sử dụng dịch vụ. Mặc dù mình biết đôi khi sẽ rất đông nhưng thái độ phục vụ của nhân viên hình như không được tốt lắm như vậy sẽ khiến cho khách tham quan dần không muốn đến nữa.,,Phục vụ,Trung tính,Check-in sống ảo
986425626,15522949,5,"Cả gia đình có chuyến du lịch bến dừa miền tây, một ngày cả gđ trải nghiệm tuyệt vời trên sông nướcCảm ơn hướng dẫn viên Thao Vy chăm sóc cả gđ rất nhiệt tình trong cả hành trình chuyến đi",,Giá cả; Phục vụ,Tích cực,Thư giãn/Spa
719106549,6560716,5,"Chúng tôi thực sự khuyên bạn nên tham quan riêng bởi hướng dẫn viên tuyệt vời Sky của chúng tôi! Sky cực kỳ am hiểu và có kinh nghiệm, nói tiếng Anh xuất sắc và hiểu những gì khách hàng của mình đang tìm kiếm trong một trải nghiệm du lịch đặc biệt. Bầu trời đảm bảo chúng tôi tránh được đám đông lớn để chúng tôi có thể chụp một số bức ảnh gia đình tuyệt vời tại Địa đạo Củ Chi. Anh ấy thể hiện sự hài hước với hàng triệu câu hỏi của chúng tôi, sự kiên nhẫn cho sự an toàn của trẻ nhỏ và chúng tôi hoàn toàn thích buổi chụp hình của chúng tôi với AK 47 & M 60. Sky rời khỏi con đường của mình để dừng lại bên đường để mua một ít đồ ăn khoai mì địa phương sau Địa đạo Củ Chi, và sau đó đưa chúng tôi đi ăn trưa đến một trong những nhà hàng Ph yêu thích của anh ấy, nơi chúng tôi có kinh nghiệm ăn trứng sống với ph thịt bò đặc biệt của chúng tôi! Mát mẻ! !Cảm ơn Sky vì đã biến ngày này thành một trải nghiệm đặc biệt mà gia đình chúng tôi sẽ ghi nhớ. Hẹn gặp lại sớm ??",Cu Chi Tunnels,Không gian/View; Giá cả,Tích cực,Khám phá lịch sử
607278643,13442216,5,"Chúng tôi theo đây rất khuyên bạn nên tham quan có tên của chúng tôi. Các hướng dẫn viên rất tử tế và có nhiều bí quyết - chúng tôi có nhiều thông tin về chuyến tham quan. Bữa sáng nhỏ trên tàu thực sự tốt. Nhưng một điều có thể được tối ưu hóa: Trong thuyền - tour du lịch nó đã được khó khăn để unterestand hướng dẫn, do tốc độ / gió. Có thể tai nghe bình thường tốt hơn và micrô từ hướng dẫn phải được cách nhiệt / chắn gió nhiều hơn (?).Chuyến đi của chúng tôi đối với cánh đồng lúa bằng xe đạp hoạt động tốt. Con gái chúng tôi đang ngồi trên giá để hành lý (trước khi đặt phòng chúng tôi hơi sợ, nhưng không có vấn đề gì).Chúng tôi sẽ nhấn mạnh rằng các tour du lịch là tư nhân và ít touristy. Và đây là một lợi thế lớn cho chúng tôi hoặc những gì chúng tôi mong đợi.Công việc tuyệt vời cho tất cả các diễn viên từ cá trê.P. S:: Cảm ơn bạn một lần nữa cho ảnh sau đó.",,Giá cả; Vệ sinh,Tích cực,Mua sắm
731607447,10005057,2,"Hầu hết các thành phố châu Á có một hoặc nhiều trung tâm thực phẩm như vậy. Nằm gần một lượng khách du lịch, phục vụ thức ăn đường phố cấp thấp với giá tương đối cao. Và công thức đã được chứng minh cũng hoạt động tốt ở đây. . . chứa đầy các mang với người nước ngoài đang tìm kiếm tài liệu tham khảo sáo rỗng. . . Âm nhạc phương Tây ồn ào, những cô gái xinh đẹp tán tỉnh trong khi bán hàng rong, bia rẻ tiền, kẹo cánh tay địa phương và bất chấp tất cả những điều này, cha mẹ nước ngoài đã lái những đứa trẻ của họ đi qua sự đông đảo của nhân loại.Thực phẩm ở đây là một mớ bòng bong từ khắp mọi nơi. . . một số người ăn được nhiều hơn những người khác nhưng thường thiếu người bán thực phẩm ngồi xổm tìm cách hỏi cùng một con phố và xung quanh góc phố.Lời khuyên của tôi là tránh xa khỏi đây, nỗ lực tìm kiếm thức ăn tốt hơn, tiếp thu một chút văn hóa địa phương bằng cách bảo trợ những nơi mà người dân địa phương làm. . . mặt khác, nó giống như có máy Mac - D. . . quen và dễ nhưng luôn hối hận!",,Ẩm thực,Tiêu cực,Ăn uống/Ẩm thực
